parliament_year,chair_id,start,end,person_id
1973,33d2d685f3af40a2b4aa56361ae0c43c,1973-01-10,1973-06-06,i-7d3TRxM4EXGPcH4Nyst5jR
1973,33d2d685f3af40a2b4aa56361ae0c43c,1973-10-16,1973-12-15,i-7d3TRxM4EXGPcH4Nyst5jR
1973,89150c91f5e049cb9c9eee1d2d208186,1973-01-10,1973-06-06,i-7dXgNidaggTRBb3qPDta9j
1973,89150c91f5e049cb9c9eee1d2d208186,1973-10-16,1973-12-15,i-7dXgNidaggTRBb3qPDta9j
1973,e9b5f3b4588d4044928e88335965fa3f,1973-01-10,1973-06-06,i-7gSKVFq5GsgutoVdRQPtCt
1973,e9b5f3b4588d4044928e88335965fa3f,1973-10-16,1973-12-15,i-7gSKVFq5GsgutoVdRQPtCt
1973,299522af1a4643cd8a246f69cfe06adf,1973-01-10,1973-06-06,i-7iPA93ucfpYLfEjkeT9MSK
1973,299522af1a4643cd8a246f69cfe06adf,1973-10-16,1973-12-15,i-7iPA93ucfpYLfEjkeT9MSK
1973,938c963f52644016b4a3198ba4cf41aa,1973-01-10,1973-06-06,i-7oBpdKNLc3LYD8YF1233E6
1973,938c963f52644016b4a3198ba4cf41aa,1973-10-16,1973-12-15,i-7oBpdKNLc3LYD8YF1233E6
1973,112b92a05e344336999e8315d2332bf1,1973-01-10,1973-06-06,i-7oTnqapnshRg18qXWm1AaJ
1973,112b92a05e344336999e8315d2332bf1,1973-10-16,1973-12-15,i-7oTnqapnshRg18qXWm1AaJ
1973,1fb73c7b8aae40b0aca2785eda0d8128,1973-01-10,1973-06-06,i-7sFhzF4XyCBEam1XMECpMa
1973,1fb73c7b8aae40b0aca2785eda0d8128,1973-10-16,1973-12-15,i-7sFhzF4XyCBEam1XMECpMa
1973,5f21ee3d04644a228782bfc705dd4563,1973-01-10,1973-06-06,i-7uNgresLrJM8ouaPNttMho
1973,5f21ee3d04644a228782bfc705dd4563,1973-10-16,1973-12-15,i-7uNgresLrJM8ouaPNttMho
1973,f2509075845c4951bb7f14df121442ed,1973-01-10,1973-06-06,i-7ugPcnmZ6J6FiS44UnXL54
1973,f2509075845c4951bb7f14df121442ed,1973-10-16,1973-12-15,i-7ugPcnmZ6J6FiS44UnXL54
1973,fd9a1a8f4106482c93fdb4e04c70a05b,1973-01-10,1973-06-06,i-81PQrPhnDLAmM1hjWyXu84
1973,fd9a1a8f4106482c93fdb4e04c70a05b,1973-10-16,1973-12-15,i-81PQrPhnDLAmM1hjWyXu84
1973,08b7ec5866e14ee888900296d95b84ba,1973-01-10,1973-06-06,i-8743Lhyk8SSNk8Ne84jigz
1973,08b7ec5866e14ee888900296d95b84ba,1973-10-16,1973-12-15,i-8743Lhyk8SSNk8Ne84jigz
1973,257de5c37a054b058aafdaafef6f309e,1973-01-10,1973-06-06,i-883dSCGaDRjsxydnQYZSoY
1973,257de5c37a054b058aafdaafef6f309e,1973-10-16,1973-12-15,i-883dSCGaDRjsxydnQYZSoY
1973,c67f9a38c8c742f48b3469e1bce25cc0,1973-01-10,1973-06-06,i-894QfS7aNCJs2z6oVt6J3F
1973,c67f9a38c8c742f48b3469e1bce25cc0,1973-10-16,1973-12-15,i-894QfS7aNCJs2z6oVt6J3F
1973,e7d33e9409314541816047b578be3f04,1973-01-10,1973-06-06,i-89BRXSiQXJAAKc8D16uNvG
1973,e7d33e9409314541816047b578be3f04,1973-10-16,1973-12-15,i-89BRXSiQXJAAKc8D16uNvG
1973,00a54f1d6ada4fc5891699617566a59e,1973-01-10,1973-06-06,i-8AhxJLZS4tkzePbePMP4WS
1973,00a54f1d6ada4fc5891699617566a59e,1973-10-16,1973-12-15,i-8AhxJLZS4tkzePbePMP4WS
1973,c066aaeed49f4398817c37f043d971d7,1973-01-10,1973-06-06,i-8DX2HEsXGBiY7R9ZYRTmeN
1973,c066aaeed49f4398817c37f043d971d7,1973-10-16,1973-12-15,i-8DX2HEsXGBiY7R9ZYRTmeN
1973,53087890e0164f679f98b0bc9e96aa56,1973-01-10,1973-06-06,i-8Db8jR6saTELpLZLDGAjHE
1973,53087890e0164f679f98b0bc9e96aa56,1973-10-16,1973-12-15,i-8Db8jR6saTELpLZLDGAjHE
1973,60b793500e4442f19732aeccae939456,1973-01-10,1973-06-06,i-8Lq2FtVLPjm4ZuNxycmaDK
1973,60b793500e4442f19732aeccae939456,1973-10-16,1973-12-15,i-8Lq2FtVLPjm4ZuNxycmaDK
1973,d0d83ed4fd9046c18cb2b6985e3d99d3,1973-01-10,1973-06-06,i-8UvUvE6N7DTqSEQmDcqrsb
1973,d0d83ed4fd9046c18cb2b6985e3d99d3,1973-10-16,1973-12-15,i-8UvUvE6N7DTqSEQmDcqrsb
1973,7019c2bba2294dcbbcefd62b54fde14c,1973-01-10,1973-06-06,i-8Xg6rQ1B7v8aCzfZ3Jki9R
1973,7019c2bba2294dcbbcefd62b54fde14c,1973-10-16,1973-12-15,i-8Xg6rQ1B7v8aCzfZ3Jki9R
1973,d4591af6d77541b9acb248df5ba9ebd2,1973-01-10,1973-06-06,i-8aNTXCV4f9MdU7Dz15ZXyB
1973,d4591af6d77541b9acb248df5ba9ebd2,1973-10-16,1973-12-15,i-8aNTXCV4f9MdU7Dz15ZXyB
1973,1a4228713ea04073ad4284047ff472dd,1973-01-10,1973-06-06,i-8bCQKT71VdBcHzz8yFjbEs
1973,1a4228713ea04073ad4284047ff472dd,1973-10-16,1973-12-15,i-8bCQKT71VdBcHzz8yFjbEs
1973,56139f24175a4329a840e56b7b538cf1,1973-01-10,1973-06-06,i-8fp2gLHtWqnYwFqeVLu5w8
1973,56139f24175a4329a840e56b7b538cf1,1973-10-16,1973-12-15,i-8fp2gLHtWqnYwFqeVLu5w8
1973,f11acd8f03764aa381ba36597b009908,1973-01-10,1973-06-06,i-8hxDNLW9NgYYqBHg8RCZcj
1973,f11acd8f03764aa381ba36597b009908,1973-10-16,1973-12-15,i-8hxDNLW9NgYYqBHg8RCZcj
1973,a340d50dda194694b178264d67bd5870,1973-01-10,1973-06-06,i-8k8THoNPECPAh4tmSxG9Mi
1973,a340d50dda194694b178264d67bd5870,1973-10-16,1973-12-15,i-8k8THoNPECPAh4tmSxG9Mi
1973,e9f0c39448084b82b1f671e667aab9bf,1973-01-10,1973-06-06,i-8rjVavTFp7UjLy1RbrHnia
1973,e9f0c39448084b82b1f671e667aab9bf,1973-10-16,1973-12-15,i-8rjVavTFp7UjLy1RbrHnia
1973,ca33b1c3b11b46c5b872b5c31d6f3127,1973-01-10,1973-06-06,i-91SAXsUbmLaUj8YfQKHZ1n
1973,ca33b1c3b11b46c5b872b5c31d6f3127,1973-10-16,1973-12-15,i-91SAXsUbmLaUj8YfQKHZ1n
1973,26c19f1090a14b14919efd51e2fde0c6,1973-01-10,1973-06-06,i-943UoRGNRSGAMuf3ei1pAs
1973,26c19f1090a14b14919efd51e2fde0c6,1973-10-16,1973-12-15,i-943UoRGNRSGAMuf3ei1pAs
1973,eeff7d0330e9488cb680bb76b78ebc67,1973-01-10,1973-06-06,i-967Q9DmWbuMgaG62XNQNDR
1973,eeff7d0330e9488cb680bb76b78ebc67,1973-10-16,1973-12-15,i-967Q9DmWbuMgaG62XNQNDR
1973,302d395097be4841bec59bc8a477128e,1973-01-10,1973-06-06,i-9C6mLQs4QzU7geZ2uSMUpe
1973,302d395097be4841bec59bc8a477128e,1973-10-16,1973-12-15,i-9C6mLQs4QzU7geZ2uSMUpe
1973,3748a057ba4d4b2b812282c64ef5cc51,1973-01-10,1973-06-06,i-9DETYuf2xa4o1AQ7HpbNMT
1973,3748a057ba4d4b2b812282c64ef5cc51,1973-10-16,1973-12-15,i-9DETYuf2xa4o1AQ7HpbNMT
1973,e96bcf9078f743bd9d4c50a0fb6d9316,1973-01-10,1973-06-06,i-9FZ4w8Hg49p7i94HbueNCk
1973,e96bcf9078f743bd9d4c50a0fb6d9316,1973-10-16,1973-12-15,i-9FZ4w8Hg49p7i94HbueNCk
1973,838d11a15f7443aaadbe61b52e75a438,1973-01-10,1973-06-06,i-9JsxBiraiBoy2MDeoaZACy
1973,838d11a15f7443aaadbe61b52e75a438,1973-10-16,1973-12-15,i-9JsxBiraiBoy2MDeoaZACy
1973,e218df544b4a44d383015a56e34e27c3,1973-01-10,1973-06-06,i-9MFHjq6CgKrRzcV8mJqNJd
1973,e218df544b4a44d383015a56e34e27c3,1973-10-16,1973-12-15,i-9MFHjq6CgKrRzcV8mJqNJd
1973,454cdbf437174ec6a5699d3d3cc14a84,1973-01-10,1973-06-06,i-9Y4xyA9x1QxKAxWcTDiJ57
1973,454cdbf437174ec6a5699d3d3cc14a84,1973-10-16,1973-12-15,i-9Y4xyA9x1QxKAxWcTDiJ57
1973,cafcc7c39379416797f370f365d5a2ca,1973-01-10,1973-06-06,i-9b5dygstFooeZAKETPPzo2
1973,cafcc7c39379416797f370f365d5a2ca,1973-10-16,1973-12-15,i-9b5dygstFooeZAKETPPzo2
1973,0ceb4c379e2f40e8a1b40efd699bf4fc,1973-01-10,1973-06-06,i-9od8XMMEFpuGQ58mq2Csw5
1973,0ceb4c379e2f40e8a1b40efd699bf4fc,1973-10-16,1973-12-15,i-9od8XMMEFpuGQ58mq2Csw5
1973,b145dbb193fc4d09a80fab995767c7e1,1973-01-10,1973-06-06,i-9oymRiJJCuDafQz6ywVqQ4
1973,b145dbb193fc4d09a80fab995767c7e1,1973-10-16,1973-12-15,i-9oymRiJJCuDafQz6ywVqQ4
1973,b9d139858a9b4d638753fe2bdc6aa35f,1973-01-10,1973-06-06,i-9pZ6GzfD2R22bxSydJmuYz
1973,b9d139858a9b4d638753fe2bdc6aa35f,1973-10-16,1973-12-15,i-9pZ6GzfD2R22bxSydJmuYz
1973,7029dfa5fa2d4e00b84506438203a09a,1973-01-10,1973-06-06,i-9tTQQwvoxmXJiQfaNwGXL4
1973,7029dfa5fa2d4e00b84506438203a09a,1973-10-16,1973-12-15,i-9tTQQwvoxmXJiQfaNwGXL4
1973,3569bd7e162e4e72af52994de58b630b,1973-01-10,1973-06-06,i-9vMXbtY8tuv8GJ8te4me1T
1973,3569bd7e162e4e72af52994de58b630b,1973-10-16,1973-12-15,i-9vMXbtY8tuv8GJ8te4me1T
1973,747f4c7c91704ea98241870c8fb42d98,1973-01-10,1973-06-06,i-A299eggckA8HS7jSxqrvbz
1973,747f4c7c91704ea98241870c8fb42d98,1973-10-16,1973-12-15,i-A299eggckA8HS7jSxqrvbz
1973,7e2addf3a2da45b69dd6f3f4ee70905b,1973-01-10,1973-06-06,i-AC8RFPqgo4aFfG6KooA2u5
1973,7e2addf3a2da45b69dd6f3f4ee70905b,1973-10-16,1973-12-15,i-AC8RFPqgo4aFfG6KooA2u5
1973,ba956c8ad3fc4debb49aba91e1c1651d,1973-01-10,1973-06-06,i-AFKRuqw65ewVGnDdU6pKeD
1973,ba956c8ad3fc4debb49aba91e1c1651d,1973-10-16,1973-12-15,i-AFKRuqw65ewVGnDdU6pKeD
1973,27aea1934fa74c8fb415589f7a15a619,1973-01-10,1973-06-06,i-AJCahuHrtMzn7qwctgkSw7
1973,27aea1934fa74c8fb415589f7a15a619,1973-10-16,1973-12-15,i-AJCahuHrtMzn7qwctgkSw7
1973,cc3f1ae939da4c58bce30184f7246d56,1973-01-10,1973-06-06,i-APdYmA6gEZ5MaLN6tJK7ae
1973,cc3f1ae939da4c58bce30184f7246d56,1973-10-16,1973-12-15,i-APdYmA6gEZ5MaLN6tJK7ae
1973,fed110666acb49a3a9c63356b46ade26,1973-01-10,1973-06-06,i-ATcwa3wSYttW59H6uu1PFg
1973,fed110666acb49a3a9c63356b46ade26,1973-10-16,1973-12-15,i-ATcwa3wSYttW59H6uu1PFg
1973,81b28b695f404290a902a9b042090db4,1973-01-10,1973-06-06,i-AUS3xJ5viRWXYnDpt66BXU
1973,81b28b695f404290a902a9b042090db4,1973-10-16,1973-12-15,i-AUS3xJ5viRWXYnDpt66BXU
1973,f74931e7475145358c92c2e48a4d1c8d,1973-01-10,1973-06-06,i-AUocZy5YDqXmCwrRq6eGaW
1973,f74931e7475145358c92c2e48a4d1c8d,1973-10-16,1973-12-15,i-AUocZy5YDqXmCwrRq6eGaW
1973,8135091aa45543dd86b0de639ef4ee09,1973-01-10,1973-06-06,i-Aa8kdvoMdZzFJ7wbmcm1Sh
